date,year,month,day_of_week,day_name,season,location,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,rainfall_mm,aqi,aqi_category
2018-01-01,2018,1,0,Monday,Wet,Bhunya,6.13,11.02,11.06,0.333,4.3,39.29,31.1,88.8,6.2,8.42,26,Good
2018-01-02,2018,1,1,Tuesday,Wet,Bhunya,9.68,18.22,12.46,0.401,4.81,37.23,29.0,70.1,4.9,5.26,40,Good
2018-01-03,2018,1,2,Wednesday,Wet,Bhunya,9.58,17.68,11.81,0.363,4.56,40.46,27.3,79.4,4.2,4.28,40,Good
2018-01-04,2018,1,3,Thursday,Wet,Bhunya,11.09,20.82,10.95,0.373,3.58,38.51,31.8,69.1,3.8,0.39,46,Moderate
2018-01-05,2018,1,4,Friday,Wet,Bhunya,5.79,9.07,10.48,0.365,4.98,41.29,22.3,72.9,4.8,11.11,24,Good
2018-01-06,2018,1,5,Saturday,Wet,Bhunya,11.48,22.43,8.68,0.237,3.85,41.33,34.1,87.8,2.0,0.75,48,Moderate
2018-01-07,2018,1,6,Sunday,Wet,Bhunya,9.08,15.85,9.65,0.243,3.05,36.36,22.8,68.2,4.1,2.66,38,Good
2018-01-08,2018,1,0,Monday,Wet,Bhunya,10.34,19.86,10.12,0.376,5.07,39.18,22.7,68.8,4.8,2.97,43,Moderate
2018-01-09,2018,1,1,Tuesday,Wet,Bhunya,10.36,19.29,9.4,0.335,4.87,39.99,28.2,81.7,5.6,1.97,43,Moderate
2018-01-10,2018,1,2,Wednesday,Wet,Bhunya,7.8,14.74,7.37,0.468,4.43,38.23,25.8,71.7,7.1,12.14,32,Good
2018-01-11,2018,1,3,Thursday,Wet,Bhunya,9.49,18.96,11.05,0.354,4.43,37.34,32.1,87.4,3.6,2.27,40,Good
2018-01-12,2018,1,4,Friday,Wet,Bhunya,10.44,19.98,8.64,0.389,3.27,35.42,27.0,74.5,4.8,4.3,44,Moderate
2018-01-13,2018,1,5,Saturday,Wet,Bhunya,10.29,18.68,8.37,0.267,2.85,40.08,28.7,61.0,0.5,3.31,43,Moderate
2018-01-14,2018,1,6,Sunday,Wet,Bhunya,8.18,16.52,11.06,0.275,3.66,39.45,26.3,75.1,5.5,3.89,34,Good
2018-01-15,2018,1,0,Monday,Wet,Bhunya,9.5,18.74,10.18,0.345,5.02,40.28,31.7,61.8,4.7,11.28,40,Good
2018-01-16,2018,1,1,Tuesday,Wet,Bhunya,9.6,18.34,10.8,0.341,4.28,39.89,26.5,69.1,4.7,4.18,40,Good
2018-01-17,2018,1,2,Wednesday,Wet,Bhunya,7.52,12.68,9.63,0.421,4.69,41.42,26.7,71.9,7.4,2.29,31,Good
2018-01-18,2018,1,3,Thursday,Wet,Bhunya,10.11,20.9,9.72,0.363,4.69,40.77,22.7,83.5,5.4,2.99,42,Moderate
2018-01-19,2018,1,4,Friday,Wet,Bhunya,13.39,19.27,8.66,0.371,3.55,43.21,24.6,83.5,3.2,1.02,54,Moderate
2018-01-20,2018,1,5,Saturday,Wet,Bhunya,21.37,41.0,10.24,0.27,3.6,38.97,25.6,60.1,5.9,5.27,70,Moderate
2018-01-21,2018,1,6,Sunday,Wet,Bhunya,6.27,11.56,8.37,0.222,3.89,39.66,28.5,71.4,8.1,0.95,26,Good
2018-01-22,2018,1,0,Monday,Wet,Bhunya,9.4,18.77,10.87,0.321,5.2,44.36,31.7,70.6,5.4,5.01,39,Good
2018-01-23,2018,1,1,Tuesday,Wet,Bhunya,7.69,16.25,10.04,0.375,4.65,39.06,21.7,72.4,8.1,7.21,32,Good
2018-01-24,2018,1,2,Wednesday,Wet,Bhunya,11.77,20.19,11.34,0.307,4.01,35.38,28.4,72.4,3.4,2.21,49,Moderate
2018-01-25,2018,1,3,Thursday,Wet,Bhunya,11.0,20.43,11.87,0.348,4.67,41.3,27.9,73.7,1.8,2.54,46,Moderate
